year,country,vessel_number,vessel_name,cruise_number,area_code,geographic_area_name,council_sablefish_management_area,species_code,common_name,sex,length,rpn,rpw,last_modified_date,akfin_load_date
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,24,0.39720987624566145,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,25,0.6620164604094357,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,26,0.8494561076391313,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,27,1.2683319771345558,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,28,1.9137791994165516,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,29,2.678862723818354,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,30,2.4623154911412226,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,31,3.098307726098919,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,32,3.6136548279578786,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,33,3.905373572857018,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,34,4.47368899208276,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,35,4.368895232771954,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,36,3.35697668098396,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,37,3.391257366667621,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,38,2.9293538063820046,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,39,2.1353243195697265,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,40,1.9007408758212092,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,41,1.462404340046482,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,42,1.7575846714573036,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,43,1.8539673238957164,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,44,0.8040606932110557,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,45,1.2650114356007287,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,46,0.9742934973163391,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,47,1.087782033386528,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,48,0.39720987624566145,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
1991,United States,81,Ocean Prowler,199101,46,Spencer Gully,East Yakutat/Southeast,30020,Shortspine thornyhead,3,49,1.087782033386528,0,2021-07-23T18:40:50Z,2023-09-12T12:09:22Z
